film,year_film,decade_film,year_ceremony,oscars_won,adult,backdrop_path,id_tmdb,original_language,original_title,overview,popularity,poster_path,release_date,video,vote_average,vote_count,genres_ids,genres
The Greatest Show on Earth,1952,1950,1953,2,FALSE,/y22C1YyK8YXjU8LHoyA06MclOs6.jpg,27191,en,The Greatest Show on Earth,"To ensure a full profitable season, circus manager Brad Braden engages The Great Sebastian, though this moves his girlfriend Holly from her hard-won center trapeze spot. Holly and Sebastian begin a dangerous one-upmanship duel in the ring, while he pursues her on the ground.",3.531,/cKI0yGPRh1IlvRKKJRoMZruior8.jpg,1952-02-21,FALSE,6.3,250,"18, 10749","Drama, Romance"
The Hoaxters,1952,1950,1953,0,FALSE,NA,149256,en,The Hoaxters,"A 1952 American documentary film written by Herman Hoffman, about the threat posed by communism to the American way of life.",0.142,NA,1952-12-05,FALSE,4.2,4,NA,NA
The Member of the Wedding,1952,1950,1953,0,FALSE,/i2kunv539oNBMXN5bVCwDBHNwEy.jpg,93775,en,The Member of the Wedding,"Tomboy, Frances 'Frankie' Addams, dreams of running away with her brother and new fiancée away from the Deep South.",0.884,/i1QymzFHXx9ZKbqqNayuzmUHRIo.jpg,1952-12-25,FALSE,6.2,25,18,Drama
The Merry Widow,1952,1950,1953,0,FALSE,/clio53Iv7OdBEo5agDOZlsMrKLQ.jpg,185197,en,The Merry Widow,"Marshovia, a small European kingdom, is on the brink of bankruptcy but the country may be saved if the wealthy American Crystal Radek, widow of a Marshovian, can be convinced to part with her money and marry the king's nephew count Danilo. Arriving to Marshovia on a visit, Crystal Radek change places with her secretary Kitty. Following them to Paris, Danilo has a hard time wooing the widow after meeting an attractive young woman at a nightclub, the same Crystal Radek who presents herself as Fifi the chorus girl. Plot by Mattias Thuresson.",0.322,/7Uu7F30ZnQVY6f6JuotYLjFhyPh.jpg,1952-09-05,FALSE,5.8,9,"18, 10402","Drama, Music"
The Narrow Margin,1952,1950,1953,0,FALSE,/yFUFyxPrlMeo110xX9gzRic3CHC.jpg,31713,en,The Narrow Margin,A tough cop meets his match when he has to guard a gangster's widow on a train journey from Chicago to Los Angeles.,3.531,/kdlCfBmTZ7CoJoCvS1b56Xj1qJi.jpg,1952-05-03,FALSE,7.3,152,"53, 80","Thriller, Crime"
The Pride of St. Louis,1952,1950,1953,0,FALSE,/bzJLhKLenRtFMuK43O28dOnRtQL.jpg,43188,en,The Pride of St. Louis,"The story of Jerome ""Dizzy"" Dean, a major-league baseball pitcher for the St. Louis Cardinals and Chicago Cubs in the 1930s and 1940s.",0.284,/9oy3KV2wE1RYG3AvXJDrmVzSf7R.jpg,1952-05-02,FALSE,6.9,8,18,Drama
The Quiet Man,1952,1950,1953,2,FALSE,/5vuQnRJURp6rZoEEnhW0HC7DBQc.jpg,3109,en,The Quiet Man,"An American man returns to the village of his birth in Ireland, where he finds love and conflict.",3.532,/u3B1hVKHE56yBRoxF3Nk9uxHdYN.jpg,1952-08-21,FALSE,7.3,540,"10749, 35, 18","Romance, Comedy, Drama"
The Sniper,1952,1950,1953,0,FALSE,/AvdaSijPWCV0XDikddO1nsPQLeF.jpg,25551,en,The Sniper,"Eddie Miller struggles with his hatred of women, he's especially bothered by seeing women with their lovers. He starts a killing spree as a sniper by shooting women from far distances. In an attempt to get caught, he writes an anonymous letter to the police begging them to stop him.",2.507,/upYwLa9rKoejM79p9DRXuLjYXN7.jpg,1952-05-09,FALSE,6.6,71,"80, 53","Crime, Thriller"
The Snows of Kilimanjaro,1952,1950,1953,0,FALSE,/nCti5gQlYntnXVV9CoxrkNGYgUZ.jpg,4460,en,The Snows of Kilimanjaro,Writer Harry Street reflects on his life as he lies dying from an infection while on safari in the shadow of Mount Kilimanjaro.,3.215,/xIdEt2rycY6h3QAKGqWrIGqhviD.jpg,1952-10-08,FALSE,5.929,91,"12, 10749, 18","Adventure, Romance, Drama"
The Star,1952,1950,1953,0,FALSE,/3wTCD9C7TGaMZPDR2KWkI0wiY9.jpg,85783,en,The Star,"Actress Margaret Elliot is well past her prime but refuses to retire from the acting business. Despite entreaties from both her daughter, Gretchen, and one-time professional colleague Jim Johannsen, Margaret remains convinced that she can regain her former glory. As she sets her sights on a coveted Hollywood role, Johannsen tries doggedly to get his unrequited love to see the folly of her ways.",1.378,/gvga2csMHbDYjSTIIFS0TArTurp.jpg,1952-12-11,FALSE,7.2,39,"18, 10749","Drama, Romance"
The Thief,1952,1950,1953,0,FALSE,/xbOOFeRfhsFwjSpKVQnyxciIuy0.jpg,38417,en,The Thief,"A chance accident causes a nuclear physicist, who's selling top secret material to the Russians, to fall under FBI scrutiny and go on the run.",1.166,/1jXvDY9pqIQu2Y986PoVFm2sDDj.jpg,1952-10-15,FALSE,6.2,33,"80, 53","Crime, Thriller"
The Two Mouseketeers,1952,1950,1952,1,FALSE,/p85DU4r3S8RLZ6rSeEyQi6tAZUU.jpg,46852,en,The Two Mouseketeers,"Tom, a castle soldier in 16th century France, is assigned to guard the food laid out on a banquet table. Jerry and a smaller mouse companion, two wandering ""mouseketeers"", make the situation miserable for Tom as they abscond with (and occasionally eat) all the food they can.",2.401,/Japp305ExR2Di8sUfYswlaDAM9.jpg,1952-03-15,FALSE,6.7,68,"16, 35, 12","Animation, Comedy, Adventure"
This Is Cinerama,1952,1950,1954,0,FALSE,/rtRaJy3oZSGwFvmGyLRy59c9UzK.jpg,98017,en,This Is Cinerama,"Designed to introduce the then-new widescreen process Cinerama, audiences experience the roller coaster at Rockaways' Playland, the temple dance from Aida, Niagara Falls, a Viennese choir, the canals of Venice, a military tattoo in Edinburgh, a bullfight, and more. The film concludes with a view from the nose of a low-flying B-25 while America the Beautiful plays.",0.425,/eSrLKt2xRsD6p91orxv2TFlpXhM.jpg,1952-09-30,FALSE,5.7,12,99,Documentary
Umberto D,1952,1950,1957,0,FALSE,/oHL7gjqFgxHiwm45hqj4Xou9Odg.jpg,833,it,Umberto D.,"When elderly pensioner Umberto Domenico Ferrari returns to his boarding house from a protest calling for a hike in old-age pensions, his landlady demands her 15,000-lire rent by the end of the month or he and his small dog will be turned out onto the street. Unable to get the money in time, Umberto fakes illness to get sent to a hospital, giving his beloved dog to the landlady's pregnant and abandoned maid for temporary safekeeping.",3.531,/5I7SYsNQmZRZpQ2MAarIQYU9vaX.jpg,1952-11-07,FALSE,7.9,692,18,Drama
Viva Zapata!,1952,1950,1953,1,FALSE,/7aX2mfTcQArKS9PufnngjexnaQY.jpg,1810,en,Viva Zapata!,"The story of Mexican revolutionary Emiliano Zapata, who led a rebellion against the corrupt, oppressive dictatorship of president Porfirio Díaz in the early 20th century.",3.531,/vfarxn9ddiaZpRDml8FGhB46Qrc.jpg,1952-02-07,FALSE,6.9,217,"36, 18, 37","History, Drama, Western"
Water Birds,1952,1950,1953,1,FALSE,/aQBfokxpXZVzXfajE1DgIkGWYVX.jpg,179184,en,Water Birds,"Water Birds is a 1952 short documentary film directed by Ben Sharpsteen. The film delves into the still waters of lagoons and marshes to the wild blue wilderness of the vast oceans, to experience the beauty and variety of their majestic birds, each perfectly designed for its habitat. It won the Oscar for Best Short Subject, Two-Reel.",0.495,/jDMwlcVjJ004KHBsvuqYqk7PHIT.jpg,1952-06-26,FALSE,6.7,14,"99, 10751","Documentary, Family"
With a Song in My Heart,1952,1950,1953,1,FALSE,/jliwdbenSCvfkAJiXmNGJ25NRpa.jpg,65787,en,With a Song in My Heart,"Jane Froman (Susan Hayward), an aspiring songstress, lands a job in radio with help from pianist Don Ross (David Wayne), whom she later marries. Jane's popularity soars, and she leaves on a European tour... but her plane crashes in Lisbon, and she is partially crippled. Unable to walk without crutches, Jane nevertheless goes on to entertain the Allied troops in World War II.",0.531,/ukUDE4agso8WDjGeTKkjH6FqS6V.jpg,1952-04-03,FALSE,5.9,15,"10402, 18","Music, Drama"
A Queen Is Crowned,1953,1950,1954,0,FALSE,/y6pDnaw3QPcvP1vhddTc3K9dmfu.jpg,149259,en,A Queen Is Crowned,A lavish documentary film of Queen Elizabeth II's Coronation in 1953.,0.248,/nfhGuNXwALMTFuhfQBz26nmvDJ6.jpg,1953-06-02,FALSE,7.1,7,99,Documentary
Above and Beyond,1953,1950,1954,0,FALSE,/jUdRs8ZzNqHoD9hQ15iIujwLCw1.jpg,80806,en,Above and Beyond,"The story of Colonel Paul Tibbets, the pilot that dropped the atomic bomb on Hiroshima. Although unaware of the full potential of this new weapon, he knows that it can do tremendously more damage than any other weapon used before, and that the death toll resulting from it will be huge. He is reluctant to be the person who will end so many lives, but as time goes on, the pressure upon him only increase.",0.601,/3Un68Q91GhpJGFXEMxIrQ9TBzOu.jpg,1953-01-02,FALSE,6.1,17,"28, 18, 10752","Action, Drama, War"
All the Brothers Were Valiant,1953,1950,1954,0,FALSE,/hFkGcMOLa28G87behmw84X69gPF.jpg,91419,en,All the Brothers Were Valiant,"In the South Pacific islands, two brothers, one good and one bad, fight over the same girl and over a bag of pearls.",0.495,/3vLIp6xf6uK99BXJ9Hzm5mnKpeS.jpg,1953-11-13,FALSE,5.9,14,12,Adventure
Bear Country,1953,1950,1954,1,FALSE,/yWR1NOqr4p1p03xebo8gJyT1yIp.jpg,162106,en,Bear Country,Bear Country is a 1953 American short documentary film directed by James Algar. It won an Academy Award at the 26th Academy Awards in 1954 for Best Short Subject (Two-Reel).[1] The film was produced by Walt Disney as part of the True-Life Adventures series of nature documentaries.,0.389,/iBovkMfembshuPKX31o0nqlqiTY.jpg,1953-02-05,FALSE,7.5,11,99,Documentary
Ben and Me,1953,1950,1954,0,FALSE,/vKTeH1cufjK4MOsFStba8lAhJAO.jpg,151430,en,Ben and Me,A revisionist version of American history as a small mouse comes to live with Benjamin Franklin and turns out to be responsible for many of his ideas; including the beginning of the Declaration of Independance!,1.66,/cHnmpGfIyZhUvpzxMZTKGjOLZIj.jpg,1953-11-11,FALSE,6.8,47,"16, 35, 10751","Animation, Comedy, Family"
Beneath the 12-Mile Reef,1953,1950,1954,0,FALSE,/BYiMTAFfc0PYBM2yfdTIaZV9Fq.jpg,22734,en,Beneath the 12-Mile Reef,"Mike and Tony Petrakis are a Greek father and son team who dive for sponges off the coast of Florida. After they are robbed by crooks, Arnold and the Rhys brothers, Mike decides to take his men to the dangerous 12-mile reef to dive for more sponges. Mike suffers a fatal accident when he falls from the reef leaving Tony to carry on the business. But now he has a companion, Gwyneth Rhys.",1.06,/lAeqIi5bxqmQNqSaHqNUZ0oVLo6.jpg,1953-12-02,FALSE,5.8,30,"12, 18","Adventure, Drama"
Calamity Jane,1953,1950,1954,1,FALSE,/wW48YBivOLmHLh1wJ9nP9siQetB.jpg,14117,en,Calamity Jane,"Sharpshooter Calamity Jane takes it upon herself to recruit a famous actress and bring her back to the local saloon, but jealousy soon gets in the way.",3.531,/bYeTi8t6Gtbck861Pm9XtE3BdpS.jpg,1953-11-04,FALSE,6.9,177,"35, 10402, 10749, 37","Comedy, Music, Romance, Western"
Call Me Madam,1953,1950,1954,1,FALSE,/geiE3b1TtaMrB2ZLy8Pc6ELQxRB.jpg,46011,en,Call Me Madam,Washington hostess Sally Adams becomes a Truman-era US ambassador to a European grand duchy.,0.813,/zNemnYu57J8oesfYmjeSD6CVdQQ.jpg,1953-03-25,FALSE,6.3,23,"35, 10749","Comedy, Romance"
Christ among the Primitives,1953,1950,1954,0,FALSE,NA,243004,it,Cristo Tra i Primitivi,"Christ Among the Primitives is an 1953 Italian language short film directed by Vincenzo Lucci-Chiarissi. It examines primitive sculptures and traces the evolution of religious motives in early man. It was nominated for an Oscar for Best Short Subject, One-Reel.",0.001,/rT8ytlA2ezrSPlwLPGynep80iIj.jpg,1953-03-06,FALSE,0,0,99,Documentary
Christopher Crumpet,1953,1950,1954,0,FALSE,/eX7eYqW6hFYHGvU41Zf49V0doVj.jpg,139264,en,Christopher Crumpet,"Through drawings, an illustrator tells his dog the story of a boy named Christopher Crumpet. Christopher can at will change himself from a little boy into a chicken. He threatens to do so if his father, Marvin, won't buy him a rocket ship.",0.319,/edngSHfdO3bCpGtCqXG3A8jB3IL.jpg,1953-06-25,FALSE,6.8,9,"16, 35","Animation, Comedy"
Crazylegs,1953,1950,1954,0,FALSE,/bDcmvIMuJjL3HxeCFiDJozgf1tM.jpg,216887,en,Crazylegs,"The story of the life and career of football star Elroy ""Crazylegs"" Hirsch (who plays himself).",0.107,/9XyU0dDsP7Me9PdbGDuCjPPNb17.jpg,1953-11-15,FALSE,5,3,18,Drama
Desert Killer,1953,1950,1953,0,FALSE,NA,179207,en,Desert Killer,"Desert Killer is a 1952 short film directed by Larry Lansburgh about a hunter tracking a sheep-killing mountain lion. The film was nominated for an Oscar for Best Short Subject, One-Reel.",0.213,/yk2w0PcHuSEUqjEQaRowGFDgQFl.jpg,1953-06-27,FALSE,4.7,6,99,Documentary
Dream Wife,1953,1950,1954,0,FALSE,/5J2TTWrrxcTr4uxsj6h63qBSI2.jpg,52365,en,Dream Wife,"Clemson Reade, a business tycoon with marriage on his mind, and Effie, a U.S. diplomat, are a modern couple. Unfortunately there seems to be too much business and not enough pleasure on the part of Effie. When Clemson meets Tarji, a princess trained in all the arts of pleasing men, he decides he wants an old fashioned girl. Princess Tarji's father is king of oil-rich Bukistan. Because of the oil situation and to maintain good political relations during the courtship between Clemson & Tarji, the State Department assigns a diplomat to maintain protocol until the wedding - Effie!",0.848,/zqKiB8csGBsA3b5dbXlJSNBQYez.jpg,1953-06-19,FALSE,5.5,24,"35, 10749","Comedy, Romance"
From Here to Eternity,1953,1950,1954,8,FALSE,/kpTTUyVxWMTebmBkaxB2YAX8yyU.jpg,11426,en,From Here to Eternity,"In 1941 Hawaii, a private is cruelly punished for not boxing on his unit's team, while his captain's wife and second in command are falling in love.",3.538,/25Rm1YJSyhXAEu8abonZvW83aPL.jpg,1953-08-28,FALSE,7.287,641,"10752, 10749, 18","War, Romance, Drama"
Genevieve,1953,1950,1955,0,FALSE,/joKE4go2xu9zLnS1KMO9ahu1Ifj.jpg,43346,en,Genevieve,Two friends driving in the London to Brighton vintage car rally bet on which of them will be the first to arrive back home.,1.625,/sHX5aJEdMroh23y2AkGpb6leNCU.jpg,1953-05-28,FALSE,6.6,46,35,Comedy
Herring Hunt,1953,1950,1954,0,FALSE,/oL53NnbhP97wAqWN1PFBgWXy5q1.jpg,243005,en,Herring Hunt,"Herring Hunt is a 1953 French-English language documentary about the operations of a herring boat off the coast of British Columbia, directed by Julian Biggs, written by Leslie McFarlane, and produced by Guy Glover. It was nominated for an Oscar for Best Short Subject, One-Reel.",0.037,/9e1fWKiWpxapRee46RdUaz3JEN8.jpg,1953-10-16,FALSE,6,1,99,Documentary
Hondo,1953,1950,1954,0,FALSE,/zZWFQH8Sh5g3FsljHEZJVa9Lgwg.jpg,6529,en,Hondo,"Army despatch rider Hondo Lane discovers a woman and her son living in the midst of warring Apaches, and he becomes their protector.",3.531,/ziHGGNGd9SEcrPgd1sdxJ9JPHWO.jpg,1953-11-26,FALSE,6.5,212,37,Western
How to Marry a Millionaire,1953,1950,1954,0,FALSE,/pkOgOztKdFadcarmNZwrOcNHrdq.jpg,10297,en,How to Marry a Millionaire,"Three women set out to find eligible millionaires to marry, but find true love in the process.",3.781,/dFwefYyEOOZaWVn15xGY6CbYYJ2.jpg,1953-10-29,FALSE,6.801,523,"35, 10749","Comedy, Romance"
Johann Mouse,1953,1950,1953,1,FALSE,/ujAuAo5LklmMVJVJcOr8PyVIKb.jpg,68986,en,Johann Mouse,"At the home of Viennese composer Johann Strauss lived Johann Mouse. Whenever the composer played his waltzes, the mouse would dance to the music, unable to control himself. One day, when Strauss was away, the house cat played his master's music. When word got out about a piano-playing cat and a dancing mouse, they were commanded to perform for the emperor.",2.013,/5gk5w3A67TPoiMDViSDKzcSmVlI.jpg,1953-03-21,FALSE,6.8,57,"16, 35, 10402","Animation, Comedy, Music"
Julius Caesar,1953,1950,1954,1,FALSE,/vd3aGU5Uhm6nAPYybKoN8UWHdYW.jpg,18019,en,Julius Caesar,The assassination of the would-be ruler of Rome at the hands of Brutus and company has tragic consequences for the idealist and for the republic.,3.781,/8yWqzGhBso1Gtpc1tcLclmcmF2B.jpg,1953-06-04,FALSE,7.021,216,"18, 36","Drama, History"
Kiss Me Kate,1953,1950,1954,0,FALSE,/4tQZGla6QVCAUMWX8iW3zMoJqwS.jpg,34857,en,Kiss Me Kate,"A pair of divorced actors are brought together to participate in a musical version of The Taming of the Shrew. Of course, the couple seem to act a great deal like the characters they play, and they must work together when mistaken identities get them mixed up with the mafia.",3.001,/phJTfsjxxi0a6ibYQ7SCACoTXDC.jpg,1953-11-26,FALSE,6.4,85,"10402, 35, 10749","Music, Comedy, Romance"
Knights of the Round Table,1953,1950,1954,0,FALSE,/j6dymNs1Q7SRhZ9OrUPDEOWPx8k.jpg,19957,en,Knights of the Round Table,"In Camelot, kingdom of Arthur and Merlin, Lancelot is well known for his courage and honor. But one day he must quit Camelot and the Queen Guinevere's love, leaving the Round Table without protection.",2.648,/bkXgVIpzVtDIbIscq5Z4M6sJ8Ex.jpg,1953-12-22,FALSE,5.9,75,"10749, 28, 12, 14, 18","Romance, Action, Adventure, Fantasy, Drama"
Lili,1953,1950,1954,1,FALSE,/9sb3ZuRM7QM5ubaEk0cCJfv4JvN.jpg,43350,en,Lili,"Members of a circus troupe ""adopt"" Lili Daurier when she finds herself stranded in a strange town. The magician who first comes to her rescue already has romantic entanglements and thinks of her as a little girl. Who can she turn to but the puppets, singing to them her troubles, forgetting that there are puppeteers? A crowd gathers around Lili as she sings. The circus has a new act. She now has a job. Will she get her heart's desire?",1.907,/1EhDKTAN2oL1L96pGOeaupm5XUt.jpg,1953-03-10,FALSE,6.7,54,"10749, 18, 10402","Romance, Drama, Music"
Little Fugitive,1953,1950,1954,0,FALSE,/afc1HoNlt8JMr5oydHGW7HZKETh.jpg,52620,en,Little Fugitive,"After a prank makes Joey Norton believe he killed his older brother, he runs away from home and spends the day at Coney Island while his brother tries to find him before their mother gets home.",2.19,/bb1zkuqfxGT8xSJu3mVYIT5xO4u.jpg,1953-10-06,FALSE,6.9,62,"18, 10751","Drama, Family"
Little Johnny Jet,1953,1950,1953,0,FALSE,/yfyxACAg6sa6zwQyGQqVTSJtYfG.jpg,84899,en,Little Johnny Jet,"A veteran B-29 propeller plane, struggling to find work after the war, is upset after his wife gives birth to a little jet. When he tries to compete with modern planes in an around-the-world race, Junior comes to his aid. This short is virtually identical in plot terms and other items to One Cab's Family (1952), but this time around, it concerns a family of aeroplanes, and the problems Mom and Pop have with Junior, whose obsession with speed leads him to acquire a jet engine.",0.601,/vSFNVW8fnQoRG7jFrm1k75Eehab.jpg,1953-04-18,FALSE,6.6,17,"16, 35","Animation, Comedy"
Martin Luther,1953,1950,1954,0,FALSE,/6Hrhm4xdjXRkIZtX9Jz0ZbUHBcH.jpg,89154,en,Martin Luther,"A biopic of Martin Luther, covering his life between 1505 and 1530, and the birth of the Protestant Reformation movement.",0.354,/aUl70aJUSGLHNblrHQG2AbJpWH2.jpg,1953-05-08,FALSE,7,10,"18, 36","Drama, History"
Miss Sadie Thompson,1953,1950,1954,0,FALSE,/5OMMPh1WG3yUNA6Z4SFhpLfaXQF.jpg,44140,en,Miss Sadie Thompson,"Sadie Thompson winds up stranded on an island and while her boat is being quarantined, she manages to stir up the blood of every marine on the base.",0.848,/bivpL0VSVuFTSDT7LAXQJ1xvQVx.jpg,1953-12-23,FALSE,5.2,24,"18, 10402, 10749","Drama, Music, Romance"
Mogambo,1953,1950,1954,0,FALSE,/E38RdTR3tLuHS8WvNsps913WFd.jpg,25009,en,Mogambo,"On a Kenyan safari, white hunter Victor Marswell has a love triangle with seductive American socialite Eloise Kelly and anthropologist Donald Nordley's cheating wife Linda.",3.531,/sKc2pZhmTz3xfItLAci44vCTrYx.jpg,1953-09-23,FALSE,6.4,159,"12, 18, 10749","Adventure, Drama, Romance"
Operation Blue Jay,1953,1950,1954,0,FALSE,NA,243012,en,Operation Blue Jay,"The U.S. Signal Corps construct a huge airbase in Thule, Greenland.",0.142,/vQtSkpd2NonvGehXno271O5DevG.jpg,1953-01-01,FALSE,5.9,4,99,Documentary
Pickup on South Street,1953,1950,1954,0,FALSE,/wrX24LRWYGZyvPr3W3SSM35QOd7.jpg,25955,en,Pickup on South Street,"In New York City, an insolent pickpocket, Skip McCoy, inadvertently sets off a chain of events when he targets ex-prostitute Candy and steals her wallet. Unaware that she has been making deliveries of highly classified information to the communists, Candy, who has been trailed by FBI agents for months in hopes of nabbing the spy ringleader, is sent by her ex-boyfriend, Joey, to find Skip and retrieve the valuable microfilm he now holds.",3.531,/et4fY4BxLyAPwxvUFUbzCUrGsjR.jpg,1953-05-27,FALSE,7.4,290,"53, 80","Thriller, Crime"
Return to Glennascaul,1953,1950,1954,0,FALSE,/DbDHwHUpzWpfuomudKBEy9ndF9.jpg,183841,en,Return to Glennascaul,"Orson Welles, taking a break from the filming of ""Othello,"" is driving in the Irish countryside one night when he offers a ride to a man with car trouble. The man relays to Welles a strange tale of an encounter he had once before at the same isolated location.",0.884,/uAImJthnukKD8AJ2IOB4T07CJJv.jpg,1953-02-01,FALSE,6.417,25,"27, 18","Horror, Drama"
