film,year_film,decade_film,year_ceremony,oscars_won,adult,backdrop_path,id_tmdb,original_language,original_title,overview,popularity,poster_path,release_date,video,vote_average,vote_count,genres_ids,genres
The Gold Rush,1925,1920,1943,0,FALSE,/bymglyc0M1QXHikGMkl0OclvaYV.jpg,962,en,The Gold Rush,A gold prospector in Alaska struggles to survive the elements and win the heart of a dance hall girl.,3.532,/eQRFo1qwRREYwj47Yoe1PisgOle.jpg,1925-08-15,FALSE,8,1637,"12, 35, 18","Adventure, Comedy, Drama"
7th Heaven,1927,1920,1929,3,FALSE,/ebgjvr2dwubTYzOfa419bAzumQ0.jpg,82474,en,7th Heaven,"In 1910s Paris, a sewer worker disillusioned with Christianity feels his prayers have been answered when he chances upon a street waif and they fall in love.",3.39,/wdSn5awvsTklNxwDlEoYKLpeYnl.jpg,1927-09-10,FALSE,7.4,96,"18, 10749","Drama, Romance"
Chang,1927,1920,1929,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorrell and Son,1927,1920,1929,0,FALSE,/oYvAUYpfnHvJq87uBaPRWa5lboa.jpg,183587,en,Sorrell and Son,"Stephen Sorrell, a decorated war hero, raises his son Kit alone after Kit's mother deserts husband and child in the boy's infancy. Sorrell loses a promising job offer and is forced to take work as a menial. Both his dignity and his health are damaged as he suffers under the exhausting labor and harsh treatment he receives as a hotel porter. But Sorrell thrives in the knowledge that his son will benefit from his labors. Sorrell has allowed the boy to believe his mother dead, but when the mother shows up, wanting to re-enter the young man's life, Sorrell must make hard decisions.  Preserved and restored by the Academy Film Archive in 2004.",0.073,/7IXlYJn21czo0OnXsy11eBY6KAK.jpg,1927-12-02,FALSE,5.5,2,18,Drama
Sunrise,1927,1920,1929,3,FALSE,/hKrrCigPFmhv1bg5IJl9nzjEaN4.jpg,631,en,Sunrise: A Song of Two Humans,"A married farmer falls under the spell of a slatternly woman from the city, who tries to convince him to drown his wife.",3.781,/oj8ZW8jKXBSs8F1e5iWsTUeXSJW.jpg,1927-11-04,FALSE,7.8,818,"18, 10749","Drama, Romance"
The Devil Dancer,1927,1920,1929,0,FALSE,/pA00hZqh3GdcuK1j8rtWNNnCeIb.jpg,171341,en,The Devil Dancer,"An English explorer disturbed by the practices of an isolated tribe attempts to rescue a native girl he has become fascinated with.  THE DEVIL DANCER was highly praised at time of release for its exquisite cinematography, especially in the use of light and shadow. The film received an Academy Award nomination in this category. Sadly, it is among the lost. No prints or negatives are known to survive.",0.038,/lG6Fmnls91DT6gxXXWnb4YZ7yIa.jpg,1927-11-03,FALSE,5,1,"18, 10749","Drama, Romance"
The Dove,1927,1920,1929,1,FALSE,NA,79760,en,The Dove,"Norma Talmadge plays a Mexican saloon singer, known as 'The Dove.' She is romanced by a young caballero and menaced by a Villa-like brute of a dictator, played by Noah Beery.",0.143,/ttnc8Rd4hdHj8soNqKmyDXnIJtd.jpg,1927-12-31,FALSE,6.5,4,10749,Romance
The Jazz Singer,1927,1920,1929,0,FALSE,/7B2b1qhbnWFzsRbMDBn0LMWWahI.jpg,939,en,The Jazz Singer,"A young Jewish man is torn between tradition and individuality when his old-fashioned family objects to his career as a jazz singer. This is the first full length feature film to use synchronized sound, and is the original film musical.",3.531,/wr8Pt1GO87cwB3210TO3JTNDsUc.jpg,1927-10-06,FALSE,6.1,225,"18, 10402","Drama, Music"
The Private Life of Helen of Troy,1927,1920,1929,0,FALSE,NA,218413,en,The Private Life of Helen of Troy,"Setting the standard for his later light-hearted biopics The Private Life of Henry VIII and Rembrandt, producer-director Alexander Korda steadfastly refuses to take any of The Private Life of Helen of Troy seriously. Maria Corda, wife of the director, plays the title character as a fetchingly underdressed coquette, oblivious to all the political turmoil she's causing when she allows the handsome Paris (Ricardo Cortez) to kidnap her. Meanwhile, poor King Menelaus (Lewis Stone), Helen's husband, stands by in stoic silence, just as he's done on previous occasions when his wife succumbed to the charms of various sexy suitors (one of whom is played by future cowboy star ""Wild Bill"" Elliot). Finally galvanized into action, Menelaus reclaims his bride, who seems none the worse for wear for her experiences.",0.084,/mZft19Osx7lF4qgsRP4snsC8ofm.jpg,1927-12-09,FALSE,3.5,2,35,Comedy
Two Arabian Knights,1927,1920,1929,1,FALSE,/9RSA0tT2B1yx7aS1SQsKdy3GiXe.jpg,102384,en,Two Arabian Knights,"During World War I, two American soldiers fight to escape the Germans while squabbling over a beautiful harem girl.  Preserved by the Academy Film Archive in partnership with University of Nevada, Las Vegas Foundation in 2016.",0.778,/6SXSpSl2hVVW3rVWh3A1aUB2tYk.jpg,1927-09-23,FALSE,6,22,"12, 35, 10749","Adventure, Comedy, Romance"
Underworld,1927,1920,1929,1,FALSE,/1NYCVTVWmwy0r5KYD1CXk8RcRyj.jpg,42565,en,Underworld,"Boisterous gangster kingpin Bull Weed rehabilitates his former lawyer from his alcoholic haze, but complications arise when he falls for Weed's girlfriend.",2.684,/6ZjgbeCwS7sipil1J221lbjaqGG.jpg,1927-08-20,FALSE,7,76,"18, 80, 10749","Drama, Crime, Romance"
Vacation from Marriage,1927,1920,1947,1,FALSE,NA,513801,de,Eheferien,NA,0.02,/oohTW3kBzctnLTKW6NpGDoU1b3r.jpg,1927-12-13,FALSE,0,0,35,Comedy
Wings,1927,1920,1929,2,FALSE,/u90ajspDd9911ISbx74rtofQZfO.jpg,28966,en,Wings,"Two young men, one rich, one middle class, both in love with the same woman, become US Air Corps fighter pilots and, eventually, heroic flying aces during World War I. Devoted best friends, their mutual love of the girl eventually threatens their bond. Meanwhile, a hometown girl who's the lovestruck lifelong next door neighbor of one of them pines away.",3.531,/kEl6KCBgdmT1Nex3ka0EIWAOmtm.jpg,1927-08-12,FALSE,7.2,281,"18, 28, 10752, 10749","Drama, Action, War, Romance"
4 Devils,1928,1920,1930,0,FALSE,/h3ejqIZ46ZZSHzwSCABI7756kLD.jpg,171624,en,4 Devils,NA,0.108,/7G71ryJRJbu8bC6oixxzC87BMz0.jpg,1928-10-03,FALSE,7,3,NA,NA
A Ship Comes In,1928,1920,1929,0,FALSE,/kYaXKD0UTMOY5NHEHm2B9fUVe71.jpg,104212,en,A Ship Comes In,Film which tells the story of immigrants coming to the United States.,0.284,/sWoUWWoOw4zXsmUpzrgLPHzSXSv.jpg,1928-01-04,FALSE,5.8,8,18,Drama
A Woman of Affairs,1928,1920,1930,0,FALSE,/sqWMX6aCANfcHHVTcHkHAmFACc2.jpg,42615,en,A Woman of Affairs,"Childhood friends Diana, Neville and David are caught in a love triangle as adults. Diana and Neville have long been smitten with each other, but her father disapproves of the relationship, resulting in her eventual marriage to David. It's not long after their wedding, however, that tragedy strikes, sending Diana on a downward spiral. When Neville reappears in her life, will he be able to save her from her own misery?",0.778,/4mPXzRGMBKrzN9XBrEgPoxhdbu.jpg,1928-12-15,FALSE,6.7,22,"18, 10749","Drama, Romance"
Glorious Betsy,1928,1920,1929,0,FALSE,/jL4Z5zzECanP9SalqKWxXyqauxN.jpg,171354,en,Glorious Betsy,"Vitaphone production reels #2471-2478; third Warner Bros. feature film - the first being The Jazz Singer and the second Tenderloin - to include talking sequences, along with the by now usual Vitaphone musical score and sound effects.  A copy of this film survives at the Library of Congress in Washington, D.C., but the sound disks are lost.",0.249,/wW5TAQmCR8onRXHHihEyUCwKq5Y.jpg,1928-04-25,FALSE,6.4,7,"18, 36","Drama, History"
In Old Arizona,1928,1920,1930,1,FALSE,/VRjzMGnGuAXycd1alavkwgAqQJ.jpg,83989,en,In Old Arizona,"Army Sergeant Mickey Dunn sets out in pursuit of the Cisco Kid, a notorious if kind-hearted and charismatic bandit of the Old West. The Kid spends much of his loot on Tonia, the woman he loves, not realizing that she is being unfaithful to him in his absence. Soon, with her oblivious paramour off plying his trade, Tonia falls in with Dunn, drawn by the allure of a substantial reward for the Kid's capture -- dead or alive. Together, they concoct a plan to ambush and do away with the Cisco Kid once and for all.",0.954,/x1XSQeLUdoi72P5UOXqAyL46B9a.jpg,1928-12-25,FALSE,5.3,27,37,Western
Our Dancing Daughters,1928,1920,1930,0,FALSE,/44c3n8032AIXsSNF92ITAlMwFr.jpg,42614,en,Our Dancing Daughters,A flapper who's secretly a good girl and a gold-digging floozy masquerading as an ingénue both vie for the hand of a millionaire.,0.99,/ifilTkhpv4G49vZpSyWo0vYuh4z.jpg,1928-09-01,FALSE,6.4,28,"18, 10749","Drama, Romance"
Sadie Thompson,1928,1920,1929,0,FALSE,/t3toEFst66ULjuLJdLFSFxCPgxI.jpg,42538,en,Sadie Thompson,"A young, beautiful prostitute named Sadie Thompson arrives on the South Pacific island of Pago Pago looking for honest work and falls for Timothy O'Hara, an American sailor who is unfazed by her unsavory past. However, Mr. Davidson, a missionary who arrived on the island at the same time, aims to ""save"" Sadie from her sinful life and petitions to have her separated from her beau and deported back to San Francisco.",1.131,/7IHxSWO4paEcPiuh515L4fzJDZx.jpg,1928-01-07,FALSE,6.8,32,"18, 10749","Drama, Romance"
Speedy,1928,1920,1929,0,FALSE,/6NfwgI1eKHfprTv1nMqVUVi0Otq.jpg,22595,en,Speedy,"Speedy loses his job as a soda jerk, then spends the day with his girl at Coney Island. He then becomes a cab driver and delivers Babe Ruth to Yankee Stadium, where he stays to see the game. When the railroad tries to run the last horse-drawn trolley (operated by his girl's grandfather) out of business, Speedy organizes the neighborhood old-timers to thwart their scheme.",3.495,/zWhWaWCCIsnQDsFTAe98ap3R5y.jpg,1928-04-07,FALSE,7.313,99,35,Comedy
Street Angel,1928,1920,1930,0,FALSE,/vW6MatSQJ0vi24ZdicPTPjGS4yC.jpg,28391,en,Street Angel,"A spirited young woman finds herself destitute and on the streets before joining a traveling carnival, where she meets a vagabond painter.",1.837,/rGDFZRIwZPYocBvspSB7RGQMzXq.jpg,1928-04-09,FALSE,7,52,"18, 10749","Drama, Romance"
The Barker,1928,1920,1930,0,FALSE,/oDkwGTYJCx7ATqdRCK9elVJu02g.jpg,85634,en,The Barker,"A successful carnival barker deals with the arrival of his eager son, who he'd hoped would stay far from the carnival world, his son's entanglement with a showgirl, and his own jealous mistress.",0.039,/aAkAPp33viKqqzzueFaXsLVkPC1.jpg,1928-12-09,FALSE,7,1,"10749, 18","Romance, Drama"
The Cop,1928,1920,1930,0,FALSE,/puEzvkkVRiM9oRaf88CqyjbpIld.jpg,173570,en,The Cop,"Pete Smith, a lift bridge operator in a harbor, feels lonely in his cabin, his only visitor being a policeman on patrol, Sgt. Coughlin. One night, after hearing shots, Smith gives shelter to a wounded man, whom he hides from Coughlin. Before leaving, the man, Marcas, promises to return the favor and the coat he borrows from him. Later, Smith enters the police, and his chief, Mather, suspects he is protecting Marcas, who is actually a gangster. Marcas sends a girl, Mary Monks, to deliver a luxurious coat with a fur collar to Smith. Pete and Mary get along well, and for his sake, she betrays Marcas, who is eventually shot to death by the cops, after having stopped his mob from killing Smith. Mary goes away alone into the night, and when Mather finds out that Pete is protecting her, he drops away the evidence of her presence on the spot.",0.084,/li452Wg0Wsnh5iIy0BnxCbp6iTl.jpg,1928-08-28,FALSE,6,1,18,Drama
The Crowd,1928,1920,1929,0,FALSE,/8ezQueOrGZyViNqdQcxOIaGIP2v.jpg,3061,en,The Crowd,"John, an ambitious but undisciplined New York City office worker, meets and marries Mary. They start a family, struggle to cope with marital stress, financial setbacks, and tragedy, all while lost amid the anonymous, pitiless throngs of the big city.",3.531,/jftzHLCZLE2DOLQWY0mENOIPjxc.jpg,1928-03-03,FALSE,7.6,175,"18, 10749","Drama, Romance"
The Last Command,1928,1920,1929,1,FALSE,/n3rEkTewthP1VIhwTCaJXYrEE0n.jpg,52679,en,The Last Command,A former Imperial Russian general and cousin of the Czar ends up in Hollywood as an extra in a movie directed by a former revolutionary.,2.966,/uKb5bFIwEzDtT3km99lqQBGNFCx.jpg,1928-01-21,FALSE,7.3,84,"18, 36, 10752, 10749","Drama, History, War, Romance"
The Noose,1928,1920,1929,0,FALSE,/kk4ISHggNvASXYEVThUpvtYRnFT.jpg,113167,en,The Noose,"In this suspenseful silent crime drama, a hijacker proves his loyalty to his mother by killing his biological father, a blackmailing gangster who has been threatening to destroy the mother's happy marriage to the governor.",0.083,/hheIsv2RAp8htWZspOPPEcEdlTL.jpg,1928-01-29,FALSE,7,1,18,Drama
The Patriot,1928,1920,1930,1,FALSE,/qOtMWhrZpqXsRtu2VLDtCDpF8XC.jpg,83990,en,The Patriot,"In 18th-Century Russia, the Czar, Paul, is surrounded by murderous plots and trusts only Count Pahlen. Pahlen wishes to protect his friend, the mad king, but because of the horror of the king's acts, he feels that he must remove him from the throne.",0.109,/9L5mhObh42jRHBBtHZ2J7eC4RTt.jpg,1928-09-01,FALSE,5,3,18,Drama
The Racket,1928,1920,1929,0,FALSE,/yCpYVgJH7d49vDc44SKrHLEVhcq.jpg,27777,en,The Racket,A renegade police captain sets out to catch a sadistic mob boss.  Preserved by the Academy Film Archive in 2016.,1.272,/d0hkMBqYOo4DIdjlUyhBvNI0kJU.jpg,1928-11-01,FALSE,6.6,36,"80, 18","Crime, Drama"
White Shadows in the South Seas,1928,1920,1930,1,FALSE,/twa5pQHucDuDPqDfsEYtB2WC2UF.jpg,53161,en,White Shadows in the South Seas,"An alcoholic doctor on a Polynesian island, disgusted by white exploitation of the natives, finds himself marooned on a pristinely beautiful island.",0.778,/5iIGEpnUrhlPALt7geqnFbhSTj3.jpg,1928-11-11,FALSE,6.6,22,"10749, 12, 18","Romance, Adventure, Drama"
Alibi,1929,1920,1930,0,FALSE,/oWD7JsI3mdJ8A4fZTs5GymqoeOr.jpg,13847,en,Alibi,"Chick Williams, a prohibition gangster, rejoins his mob soon after being released from prison. When a policeman is murdered during a robbery, he falls under suspicion. The gangster took Joan, a policeman's daughter, to the theater, sneaked out during the intermission to commit the crime, then used her to support his alibi. The detective squad employs its most sophisticated and barbaric techniques, including planting an undercover agent in the gang, to bring him to justice.",0.672,/2C3ZDxVrOVafzNoOVrxsNQDiHey.jpg,1929-04-20,FALSE,5.9,19,"80, 18","Crime, Drama"
Bulldog Drummond,1929,1920,1931,0,FALSE,/nYvQRR3s5zVwiOmC5KM33L6jSSV.jpg,81829,en,Bulldog Drummond,Bulldog Drummond is a British WWI veteran who longs for some excitement after he returns to the humdrum existence of civilian life. He gets what he's looking for when a girl requests his help in freeing her uncle from a nursing home. She believes the home is just a front and that her uncle is really being held captive while the culprits try to extort his fortune from him.,0.778,/7pN3nEDQBfQRjrtgOwJ3WBBm23F.jpg,1929-05-02,FALSE,6.5,22,"28, 53, 18","Action, Thriller, Drama"
Coquette,1929,1920,1930,1,FALSE,/wRvxb5hOgJdBZevFEn0EZSeJOed.jpg,85507,en,Coquette,A Southern belle's flirtation with a working man leads to tragedy.,0.954,/55WVe0RBtaLADx7VW4dpKPTeYeq.jpg,1929-03-30,FALSE,5.6,27,18,Drama
Disraeli,1929,1920,1931,1,FALSE,/lAhQmZJkcL3CjIyfzA3cDQeOLo.jpg,84274,en,Disraeli,Prime Minister of Great Britain Benjamin Disraeli outwits the subterfuge of the Russians and chicanery at home in order to secure the purchase of the Suez Canal.,0.707,/uVTmxQJp0sqBujbieSTrB2ui9al.jpg,1929-11-01,FALSE,5.1,20,"18, 36","Drama, History"
Drag,1929,1920,1930,0,FALSE,/iywAhhc6tXGTgAZ8xno28EYNfHy.jpg,116269,en,Drag,"Young David Carroll takes over the publication of a local newspaper in Vermont. Although he is attracted to Dot, ""the most sophisticated girl in town,"" he marries Allie Parker, daughter of the couple who run the boardinghouse where he lives. Allie remains at home when David goes to New York City to sell a musical he has written. There, Dot, now a successful costume designer, uses her influence to get David's play produced. David and Dot fall in love, but she leaves for Paris when David indicates he will remain true to Allie. He sends for Allie, but when she arrives with her whole family, he decides to follow Dot to Paris.",0.037,/qUc48aiBs6cNk4r865dUOvUM6SF.jpg,1929-07-21,FALSE,6,1,18,Drama
Dynamite,1929,1920,1930,0,FALSE,/oYuD92RxZG3jCe8soDO3aMav6u.jpg,173580,en,Dynamite,"Wealthy Cynthia is in love with not-so-wealthy Roger, who is married to Marcia. The threesome is terribly modern about the situation, and Marcia will gladly divorce Roger if Cynthia agrees to a financial settlement. But Cynthia's wealth is in jeopardy because her trust fund will expire if she is not married by a certain date. To satisfy that condition, Cynthia arranges to marry Hagon Derk, who is condemned to die for a crime he didn't commit. She pays him so he can provide for his little sister. But at the last minute, Derk is freed when the true criminal is discovered. Expecting to be a rich widow, Cynthia finds herself married to a man she doesn't know and doesn't want to.",0.46,/gqoknfqWeGbGHzxswX0f3bA7TVL.jpg,1929-12-13,FALSE,6.346,13,18,Drama
Hallelujah,1929,1920,1931,0,FALSE,/aYm06AmXLNbWMPacucu34e25tpI.jpg,72856,en,Hallelujah,A black laborer turns preacher after accidentally killing a man.,1.095,/eRRhrNMQkYLq90ZvwDqqMMebZWB.jpg,1929-08-20,FALSE,6.633,31,"10402, 18","Music, Drama"
Hollywood Revue,1929,1920,1930,0,FALSE,/vu7gLgWefXGoP2UtAC41FTozSYs.jpg,31678,en,The Hollywood Revue of 1929,An all-star revue featuring MGM contract players.,0.884,/pe8dZ8LpRnfivsQ7nxLhH5AWxoW.jpg,1929-11-23,FALSE,5.7,25,"35, 10402","Comedy, Music"
Madame X,1929,1920,1930,0,FALSE,/d2U0bMQTUnpTkNMM6Xu4BDSoXdQ.jpg,39075,en,Madame X,"A young, unfaithful wife and mother is thrown out by her cold, unforgiving husband, the Attorney General of France. She is barred from ever seeing her three year old son again despite her earnest attempts to make amends. For many years the mother seeks refuge overseas and in Absinthe. In the end, her son, a young and promising lawyer unknowingly defends her in court. Ruth Chatterton gives a marvelous performance in this early talkie in her portrayal of Madame X.",0.284,/lUYtRWapt7UuqpEdVDPAY7iolHL.jpg,1929-08-17,FALSE,6,8,18,Drama
The Bridge of San Luis Rey,1929,1920,1930,1,FALSE,NA,173582,en,The Bridge of San Luis Rey,"This first cinematic version of the classic book is a part-talkie, although the only surviving print is silent (housed in the George Eastman House, Rochester, NY). It is a straight-forward telling of the intermingled lives of a group of strangers doomed to die in a collapsing bridge accident. The Art Direction, paltry and unremarkable, surprisingly won an Oscar over the far more remarkable work nominated in THE IRON MASK. The special effect scene of the lovers plummeting with the bridge into the chasm is unforgettable and remarkably done.",0.076,/iiHIrhue0jDvcY4TMa0rUIuzjy9.jpg,1929-03-30,FALSE,7.5,2,18,Drama
The Broadway Melody,1929,1920,1930,1,FALSE,/tEAEturRMtH4uY3wq2xvlINgiVj.jpg,65203,en,The Broadway Melody,"The vaudeville act of Harriet and Queenie Mahoney comes to Broadway, where their friend Eddie Kerns needs them for his number in one of Francis Zanfield's shows. When Eddie meets Queenie, he soon falls in love with  her—but she is already being courted by Jock Warriner, a member of New York high society. Queenie eventually recognizes that, to Jock, she is nothing more than a toy, and that Eddie is in love with her.",3.531,/giq8GJs8YGMzHxeKxNSuwzAdd1c.jpg,1929-02-08,FALSE,5.2,142,"10402, 10749, 18","Music, Romance, Drama"
The Divine Lady,1929,1920,1930,1,FALSE,/xaKaXAzDxxABeQC6CCPGBCWme8i.jpg,104214,en,The Divine Lady,Lady Hamilton's love affair with Admiral Horatio Nelson rocks the British Empire.,0.778,/kDMZL9CSDZ9iZhMXC2L4E09WpMS.jpg,1929-03-31,FALSE,5.3,22,"18, 36, 10749, 10752","Drama, History, Romance, War"
The Invaders,1929,1920,1943,1,FALSE,NA,904541,en,The Invaders,"Two children--a brother and sister--are the only survivors of an Indian attack on a wagon train, and are soon separated. An army officer adopts the boy, and the girl is taken to live with Indians and renamed Black Fawn. When the boy grows up he joins the cavalry and finds himself in the middle of an Indian war as he searches for his long-lost sister.",0.02,NA,1929-10-01,FALSE,0,0,37,Western
The Last of Mrs. Cheyney,1929,1920,1930,0,FALSE,/sbMPatCBkJM25bXNpBqS6sS9oCa.jpg,246292,en,The Last of Mrs. Cheyney,"There is a big charity function at the house of Mrs. Cheyney and a lot of society is present. With her rich husband, deceased, rich old Lord Elton and playboy Lord Arthur Dilling are both very interested in the mysterious Fay. Invited to the house of Mrs. Webley, Fay is again the center of attention for Arthur and Elton with her leaning towards stuffy old Elton. When Arthur sees Charles, Fay's Butler, lurking in the gardens, he remembers that Charles was a thief caught in Monte Carlo and he figures that Fay may be more interested in the pearls of Mrs. Webley, which she is. After Fay takes the pearls, but before she can toss them out the window, she is caught by Arthur who is very disappointed in how things are turning out.",0.389,/rqCEIEtvVVpW3yltemtU9HpHfNu.jpg,1929-07-06,FALSE,5.545,11,"35, 18","Comedy, Drama"
The Letter,1929,1920,1930,0,FALSE,/qMxSPsiiCVSOHjHDjiMEWhaKtrf.jpg,147846,en,The Letter,"A planter's wife shoots a neighbor, but tells conflicting stories of what happened.",0.672,/w9meVsSbjXc0dnWqrqxs8NwXd91.jpg,1929-03-17,FALSE,5.6,19,18,Drama
The Trespasser,1929,1920,1931,0,FALSE,/qoNihbuFTophbYa5NRLwyqs1a1w.jpg,53796,en,The Trespasser,"A stenographer who works for a lawyer falls in love with and marries a wealthy young man. His family has the marraige annulled, after which she gives birth to a child. Her former boss helps her out to ensure the child's welfare, which starts gossip that she is a ""kept woman.""",0.425,/8IIvlovQzJ4BXbdNiAvtXRbu90u.jpg,1929-11-11,FALSE,6.7,12,18,Drama
The Valiant,1929,1920,1930,0,FALSE,/emEDlqL40VsFAttXvVS8zrpYXKr.jpg,113207,en,The Valiant,"A man condemned to execution tries to convince two women that he is not their son and brother, and that they must get on with their lives.",0.495,/m9c3ZNBjtEh5gvg2ixYVbXLgPCi.jpg,1929-05-19,FALSE,5.9,14,18,Drama
Their Own Desire,1929,1920,1931,0,FALSE,/jV5avTZrTMm3XQJVnMGktrM8RlI.jpg,99767,en,Their Own Desire,"Lally is a rich girl whose father writes books and plays polo. After 23 years of marriage her father decides to divorce Lally's mother and remarry to soon-to-be-divorced Beth Cheever. This sours Lally on all men. While on vacation with her mother she meets Jack, who succeeds in stealing her heart. Then Lally discovers that Jack is the son of Beth Cheever, the woman who is to marry her father.",0.531,/wZBKzVhozA3zI4aAmAYlBsmdzh2.jpg,1929-12-27,FALSE,4.8,15,"18, 10749","Drama, Romance"
Thunderbolt,1929,1920,1930,0,FALSE,/sOzLX4m7566vB8I8HmH6c9We549.jpg,27456,en,Thunderbolt,"A criminal known as Thunderbolt is imprisoned and facing execution. Into the next cell is placed Bob Moran, an innocent man who has been framed and who is in love with Thunderbolt's girl, without knowing of their relationship. Thunderbolt hopes to stave off the execution long enough to kill young Moran for romancing his girl.",0.954,/8eFNGOZn5c7lUyObcR8tdH9SbOW.jpg,1929-06-20,FALSE,5.8,27,"80, 18","Crime, Drama"
All Quiet on the Western Front,1930,1930,1931,2,FALSE,/hSRb0YhB4TaeIKgZtQbFuY3l0XM.jpg,143,en,All Quiet on the Western Front,"When a group of idealistic young men join the German Army during the Great War, they are assigned to the Western Front, where their patriotism is destroyed by the harsh realities of combat.",3.538,/1wZUB08igw8iLUgF1r4T6aJD65b.jpg,1930-04-29,FALSE,7.8,818,"18, 10752","Drama, War"
Anna Christie,1930,1930,1931,0,FALSE,/rBXc4JPCe97mYS5oiCrbbZFQKVY.jpg,42812,en,Anna Christie,"Old sailor Chris Christofferson eagerly awaits the arrival of his grown daughter Anna, whom he sent at five years old to live with relatives in Minnesota. He has not seen her since, but believes her to be a decent and respectably employed young woman. When Anna arrives, however, it is clear that she has lived a hard life in the dregs of society, and that much of spirit has been extinguished. She falls in love with a young sailor rescued at sea by her father, but dreads to reveal to him the truth of her past. Both father and young man are deluded about her background, yet Anna cannot quite bring herself to allow them to remain deluded.",1.731,/zHsjA95g42xeBEPcWdF4s1BA53L.jpg,1930-02-21,FALSE,6.2,49,"18, 10749","Drama, Romance"
Hell's Angels,1930,1930,1931,0,FALSE,/wZeh4Pa9NXtvgyIngIOIS9j2C3S.jpg,22301,en,Hell's Angels,"When the Great War breaks out, brothers Roy and Monte Rutledge, each attending Oxford University, enlist with the Royal Flying Corps.",3.248,/vt6zF55B9WLzYENs6cuXy8J5o1X.jpg,1930-11-15,FALSE,6.5,92,"18, 10752, 28","Drama, War, Action"
Holiday,1930,1930,1931,0,FALSE,/ueLbJpqw7Bn7JlQ3abCTVHCWm4J.jpg,104219,en,Holiday,A young man is torn between his free-thinking lifestyle and the tradition of his wealthy fiancée's family.,0.742,/qJktLHUUJqtKCIZnLoVy9cE1vMf.jpg,1930-07-03,FALSE,6.2,21,"10749, 18","Romance, Drama"
Just Imagine,1930,1930,1931,0,FALSE,/mVUzOA8NMZ3JRPmV3x9ecCcF7XD.jpg,90395,en,Just Imagine,"New York, 1980: airplanes have replaced cars, numbers have replaced names, pills have replaced food, government-arranged marriages have replaced love, and test tube babies have replaced ... well, you get the idea. Scientists revive a man struck by lightning in 1930; he is rechristened ""Single O"". He is befriended by J-21, who can't marry the girl of his dreams because he isn't ""distinguished"" enough -- until he is chosen for a 4-month expedition to Mars by a renegade scientist. The Mars J-21, his friend, and stowaway Single O visit is full of scantily clad women doing Busby Berkeley-style dance numbers and worshiping a fat middle-aged man.",0.707,/3fY0nrTs0QhrpBLe6dGAosBYfv2.jpg,1930-11-23,FALSE,5.5,20,"35, 10402, 878, 14","Comedy, Music, Science Fiction, Fantasy"
King of Jazz,1930,1930,1931,1,FALSE,/lrjr3n25Hmwy6foSrr1w9nMi3e8.jpg,108213,en,King of Jazz,"Made during the early years of the movie musical, this exuberant revue was one of the most extravagant, eclectic, and technically ambitious Hollywood productions of its day. Starring the bandleader Paul Whiteman, then widely celebrated as the King of Jazz, the film drew from Broadway variety shows to present a spectacular array of sketches, performances by such acts as the Rhythm Boys (featuring a young Bing Crosby), and orchestral numbers—all lavishly staged by veteran theater director John Murray Anderson.",1.237,/2CXh34kZ4AblbpnVIqmPF1vKwti.jpg,1930-04-20,FALSE,6.2,35,"16, 35, 10402","Animation, Comedy, Music"
Laughter,1930,1930,1931,0,FALSE,/jKaDEqw21pVCBeshGj6vy6ek2WD.jpg,166010,en,Laughter,"Zeigfeld Follies beauty Peggy marries an older man, C. Morton Gibson. Although she soon grows tired of their sedate life, she refuses the attentions of her longtime friend, the volatile sculptor Ralph Le Saint. When pianist Paul Lockridge arrives from Paris, he begs Peggy to run away with him to France, where they can share adventure and a full life -- but complications arise for Peggy when Gibson's attractive daughter visits.",0.425,/uMJeVQWtQzN6ONQfPvtzGuw7cDL.jpg,1930-09-24,FALSE,4.9,12,"10749, 35","Romance, Comedy"
Min and Bill,1930,1930,1931,1,FALSE,/tffrbnKlVzcYlXxBNOcf5zWWnZx.jpg,85505,en,Min and Bill,"Min, the owner of a dockside hotel, is forced to make difficult decisions about the future of Nancy, the young woman she took in as an infant.",0.778,/9I8cAo1fbEeztrgvbNwk18xqTwz.jpg,1930-11-29,FALSE,6.3,22,"18, 35","Drama, Comedy"
Morocco,1930,1930,1931,0,FALSE,/fyIbxqQ75Ma9jXmSr4OxXZ0UkOa.jpg,42641,en,Morocco,"Mogador, Morocco. Late 1920s. A complex romance develops between a womanizing Legionnaire and a disillusioned Parisian cabaret singer.",3.536,/jDqZsxyv35iyJWW0mANk1RhxhJp.jpg,1930-11-14,FALSE,6.3,143,"18, 10749","Drama, Romance"
Raffles,1930,1930,1931,0,FALSE,/gzcfhMFuoryamZ2hOkICFMc6oGk.jpg,104439,en,Raffles,"A distinguished English gentleman has a secret life--he is the notorious jewel thief the press has dubbed ""The Amateur Cracksman"". When he meets a woman and falls in love he decides to ""retire"" from that life, but an old friend comes to him with a predicament that entails him committing one last job.",0.495,/mOeP2d3JO1Q8bLgphb9zyEM3spG.jpg,1930-07-24,FALSE,6,14,"12, 80, 10749","Adventure, Crime, Romance"
